ID,Reef_ID,Latitude.Degrees,Longitude.Degrees,Ocean_Name,Realm,Ecoregion,Country_Name,State_Island_Province,City_Town,City_Town_2,City_Town_3,Date,Depth,Organism Code,Bleaching_S1,Bleaching_S2,Bleaching_S3,Bleaching_S4,Average_Bleaching,substrate_code,Hard_Coral_S1,Hard_Coral_S2,Hard_Coral_S3,Hard_Coral_S4,Average_coral_cover
1,35.29.99E.21.48.02S,-21.80027778,35.49972222,Indian,Western Indo-Pacific,South Mozambique coast,Mozambique,Inhambane Province,Bazaruto Archipelago,Bazaruto,,11/22/2001,7.5,,,,,,,HC,18,,,,18
2,165.27.198E.21.39.698S,-21.66163889,165.4533056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,12/14/2004,2,,,,,,,HC,2,3,5,0,2.5
3,165.27.198E.21.39.698S,-21.66163889,165.4533056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,12/6/2005,2,,,,,,,HC,5,8,1,8,5.5
4,165.27.198E.21.39.698S,-21.66163889,165.4533056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,1/21/2012,1,,,,,,,HC,1,4,11,6,5.5
5,165.27.198E.21.39.698S,-21.66163889,165.4533056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,2/20/2013,1,,,,,,,HC,3,4,5,6,4.5
6,165.27.198E.21.39.698S,-21.66163889,165.4533056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,2/25/2014,1,,,,,,,HC,3,4,7,6,5
7,165.27.198E.21.39.698S,-21.66163889,165.4533056,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,3/22/2015,1,,,,,,,HC,3,4,10,5,5.5
8,21S165E3,-21.65833333,165.45,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,10/4/1998,3,,,,,,,HC,23,18,6,13,15
9,165.27.376E.21.39.211S,-21.65352778,165.4562778,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,1/21/2012,3.5,,,,,,,HC,11,14,17,19,15.25
10,165.27.376E.21.39.211S,-21.65352778,165.4562778,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,2/20/2013,3,,,,,,,HC,11,17,13,16,14.25
11,165.27.376E.21.39.211S,-21.65352778,165.4562778,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,2/25/2014,3,,,,,,,HC,14,14,14,19,15.25
12,165.27.376E.21.39.211S,-21.65352778,165.4562778,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,La Roche Percee,,,3/22/2015,3,,,,,,,HC,12,17,17,18,16
13,166.23.14E.22.15.48S,-22.258,166.3856667,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Noumea,,,12/6/2001,3,,,,,,,HC,12,32,35,10,22.25
14,166.23.14E.22.15.48S,-22.258,166.3856667,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Noumea,,,10/17/2003,3,,,,,,,HC,13,10,4,7,8.5
15,166.23.14E.22.15.48S,-22.258,166.3856667,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Noumea,,,4/7/2006,3,,,,,,,HC,22,9,4,2,9.25
16,166.23.14E.22.15.48S,-22.258,166.3856667,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Noumea,,,1/5/2012,2,,,,,,,HC,12,17,3,28,15
17,166.23.14E.22.15.48S,-22.258,166.3856667,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Noumea,,,2/3/2013,2.3,,,,,,,HC,13,18,3,32,16.5
18,166.23.14E.22.15.48S,-22.258,166.3856667,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Noumea,,,3/16/2014,2.3,,,,,,,HC,15,18,5,29,16.75
19,166.23.14E.22.15.48S,-22.258,166.3856667,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Noumea,,,1/13/2015,2.3,,,,,,,HC,21,21,2,19,15.75
20,22S166E13,-22.25166667,166.265,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Noumea,Ilot M'bo,,9/20/1998,3,,,,,,,HC,18,33,33,32,29
21,22N166E9,-22.22,166.3233333,Pacific,Central Indo-Pacific,New Caledonia,New Caledonia,South Province,Noumea,,,9/20/1998,4,,,,,,,HC,12,10,11,10,10.75
22,43.11.939E.22.03.689S,-22.06147222,43.19897222,Indian,Western Indo-Pacific,South Madagascar,Madagascar,Toliara Province,Andavadoaka,Nosy Fasy,,8/18/2003,6,,,,,,,HC,0,0,0,,0
23,21S113E1,-21.90944444,113.9652778,Indian,Central Indo-Pacific,Ningaloo Reef and coastal north-west Australia,Australia,Western Australia,North West Cape,,,9/3/1998,3,,,,,,,HC,15,16,29,25,21.25
24,21S114E2,-21.86222222,114.1730556,Indian,Central Indo-Pacific,Ningaloo Reef and coastal north-west Australia,Australia,Western Australia,North West Cape,,,8/28/1997,6,,,,,,,HC,20,24,25,22,22.75
